label_source,target_label,comparison_label,rank,feature_id,effect_size,target_mean_log1p,comparison_mean_log1p,target_prevalence,comparison_prevalence,target_n,comparison_n
expected_label,contradiction,coherent,4,16114,0.8900351524353027,2.487382650375366,1.577141523361206,0.8974358974358975,0.6774193548387096,39,62
expected_label,contradiction,coherent,5,4163,0.8724791407585144,4.383478164672852,4.28764533996582,1.0,1.0,39,62
expected_label,contradiction,coherent,6,4182,0.870205819606781,4.92160701751709,4.861593723297119,1.0,1.0,39,62
expected_label,contradiction,coherent,7,11387,0.8332074284553528,4.678051948547363,4.5982160568237305,1.0,1.0,39,62
expected_label,contradiction,coherent,8,12029,0.7837178111076355,3.986171245574951,3.0984485149383545,1.0,0.7903225806451613,39,62
expected_label,contradiction,coherent,9,8712,0.7390915751457214,4.470585346221924,4.414417743682861,1.0,1.0,39,62
expected_label,contradiction,coherent,10,14535,0.7372260093688965,3.6354691982269287,3.5209338665008545,1.0,1.0,39,62
expected_label,contradiction,coherent,11,2031,0.7303711771965027,5.764082431793213,5.727132797241211,1.0,1.0,39,62
expected_label,contradiction,coherent,12,14746,0.6936445236206055,2.0505599975585938,0.8436056971549988,0.5384615384615384,0.22580645161290322,39,62
expected_label,contradiction,coherent,13,9419,0.6836504340171814,4.387434959411621,4.336142063140869,1.0,1.0,39,62
expected_label,contradiction,coherent,14,14761,0.6576958894729614,1.6989010572433472,0.668852686882019,0.48717948717948717,0.1935483870967742,39,62
expected_label,contradiction,coherent,15,9201,0.6298702955245972,3.523756742477417,2.6421825885772705,0.9230769230769231,0.7096774193548387,39,62
expected_label,contradiction,coherent,16,8478,0.6175017952919006,3.024470806121826,2.0299623012542725,0.8205128205128205,0.5645161290322581,39,62
expected_label,contradiction,coherent,17,4693,0.5974884033203125,2.8948655128479004,1.659010410308838,0.6666666666666666,0.3870967741935484,39,62
expected_label,contradiction,coherent,18,11653,0.5968150496482849,1.7668472528457642,0.7396912574768066,0.46153846153846156,0.1935483870967742,39,62
expected_label,contradiction,coherent,19,12383,0.5916582345962524,3.973243236541748,3.919825315475464,1.0,1.0,39,62
